#,Phase,File,What it does,Notes
1,0 Orient,[OP] README.md,"Operator overview, what it provisions",
2,0 Orient,[OP] PROJECT,"Kubebuilder descriptor: group, the 2 Kinds",
3,1 Contracts,[OP] api/v1alpha1/registrybackend_types.go,RegistryBackend CR - per-tenant Harbor infra spec/status,
4,1 Contracts,[OP] api/v1alpha1/registryinstance_types.go,RegistryInstance CR - one user registry spec/status,
5,1 Contracts,[OP] api/v1alpha1/groupversion_info.go,Registers API group/version with scheme,
6,1 Contracts,[OP] api/v1alpha1/zz_generated.deepcopy.go,Generated DeepCopy (skim),
7,1 Contracts,[OP] db/migrations/001_initial.sql,Base DB schema,
8,1 Contracts,[OP] db/migrations/002_project_scoped.sql,Adds project scoping,
9,1 Contracts,[CP] dc-api/internal/models/registry.go,API-side request/response structs,
10,1 Contracts,[CP] dc-api/internal/db/registry.go,API-side SQL for registries,
11,2 CP path,[CP] dc-api/internal/api/handlers/registry.go,Create/list/get/delete REST endpoints,
12,2 CP path,[CP] dc-api/internal/providers/registry/client.go,"Creates CRs, reads credentials secret",
13,2 CP path,[CP] dc-api/internal/providers/registry/harbor_client.go,Harbor browse client (TLS-CA fix here),
14,2 CP path,[CP] dc-api/internal/api/handlers/registry_repositories.go,Repo/artifact browse + delete,
15,3 Operator,[OP] cmd/main.go,Wires manager + worker + HTTP gateway,
16,3 Operator,[OP] internal/controller/registrybackend_controller.go,Backend reconcile (status mirror),
17,3 Operator,[OP] internal/controller/registryinstance_controller.go,Instance reconcile (gates on backend),
18,4 Engine,[OP] internal/worker/deploy_worker.go,The 7-step Harbor deploy engine (big one),
19,4 Engine,[OP] internal/helm/values_generator.go,Builds Harbor Helm values,
20,4 Engine,[OP] internal/helm/deployer.go,Installs Harbor chart via Helm SDK,
21,4 Engine,[OP] internal/k8s/client.go,"Namespaces, wait-for-ready (client-go)",
22,4 Engine,[OP] internal/harbor/bootstrap.go,Harbor REST: project + robot account,
23,5 Infra,[OP] internal/config/config.go,Env to typed Config,
24,5 Infra,[OP] internal/db/postgres.go,SQL + FOR UPDATE SKIP LOCKED worker lock,
25,5 Infra,[OP] internal/crypto/aes.go,AES-256-GCM token encryption,
26,5 Infra,[OP] internal/audit/logger.go,Writes audit rows,
27,5 Infra,[OP] internal/metrics/prometheus.go,Prometheus counters/histograms,
28,5 Infra,[OP] internal/api/server.go,Operator's own HTTP gateway,
29,5 Infra,[OP] internal/api/handlers/registry.go,Gateway handlers (dc-api to operator),
30,5 Infra,[OP] internal/api/middleware/auth.go,Token-forwarding authn,
31,6 Middleware,[OP] internal/api/middleware/logging.go,Request logging,
32,6 Middleware,[OP] internal/api/middleware/ratelimit.go,Rate limiting,
33,7 UI,[CP] cloud-ui/src/pages/RegistriesListPage.tsx,Registry list page,
34,7 UI,[CP] cloud-ui/src/components/RegistryCreateDrawer.tsx,Create-registry drawer,
35,7 UI,[CP] cloud-ui/src/pages/RegistryDetailPage.tsx,Registry detail page,
36,7 UI,[CP] cloud-ui/src/components/RegistryRepositoriesTab.tsx,Repos/artifacts tab,
37,7 UI,[CP] cloud-ui/src/components/RegistryConnectInstructions.tsx,docker login / pull instructions,
38,8 Build,[OP] Dockerfile,Builds operator image,
39,8 Build,[OP] Makefile,build/test/deploy targets,
40,8 Build,[OP] go.mod,Module + deps,
41,8 Build,[OP] go.sum,Dep checksums (skim),
42,8 Build,[OP] hack/boilerplate.go.txt,Codegen license header (skim),
43,8 Build,[OP] .dockerignore,Docker build excludes (skim),
44,8 Build,[OP] .gitignore,Git excludes (skim),
45,9 Config,[OP] config/crd/bases/registry.opencloud.wso2.com_registrybackends.yaml,Generated CRD (backend),
46,9 Config,[OP] config/crd/bases/registry.opencloud.wso2.com_registryinstances.yaml,Generated CRD (instance),
47,9 Config,[OP] config/crd/kustomization.yaml,CRD kustomize,
48,9 Config,[OP] config/crd/kustomizeconfig.yaml,CRD kustomize config,
49,9 Config,[OP] config/manager/manager.yaml,Operator Deployment,
50,9 Config,[OP] config/manager/kustomization.yaml,Manager kustomize,
51,9 Config,[OP] config/default/kustomization.yaml,"Top-level kustomize (namespace, prefix)",
52,9 Config,[OP] config/default/manager_metrics_patch.yaml,Metrics patch,
53,9 Config,[OP] config/default/metrics_service.yaml,Metrics Service,
54,9 Config,[OP] config/rbac/role.yaml,Manager ClusterRole (read this),
55,9 Config,[OP] config/rbac/role_binding.yaml,Manager role binding,
56,9 Config,[OP] config/rbac/service_account.yaml,Operator service account (read this),
57,9 Config,[OP] config/rbac/kustomization.yaml,RBAC kustomize,
58,9 Config,[OP] config/rbac/leader_election_role.yaml,Leader-election role,
59,9 Config,[OP] config/rbac/leader_election_role_binding.yaml,Leader-election binding,
60,9 Config,[OP] config/rbac/metrics_auth_role.yaml,Metrics authn role,
61,9 Config,[OP] config/rbac/metrics_auth_role_binding.yaml,Metrics authn binding,
